Timestamp,How old are you?,What is your current employment status?,"On average, what time do you usually go to bed each night?",Does going to bed early affect how productive you are the next day?,"On average, what time do you wake up each morning?",Does waking up early affect how productive you are that day?,How many hours on average do you sleep each night?,How many hours on average do you spend studying/doing work each day?,Does getting 8+ hours of sleep per night affect how productive you are?,Do you believe you get enough sleep?,Do you consider yourself a productive person? ,Do you believe sleep has an effect on your productivity
12/04/2021 13:33:00,18-21,Full-time tertiary student,Earlier than 9pm,5,5am or earlier,6,7,2-4 hours,8,2,Moderately productive,Partly Agree
12/04/2021 13:38:46,18-21,Full-time tertiary student,Later than 2am,4,11am,9,9,2-4 hours,6,4,Slightly productive,Strongly Agree
12/04/2021 13:40:28,15-17,Full-time tertiary student,11pm-12am,7,9am,8,7,2-4 hours,4,3,Moderately productive,Partly Agree
12/04/2021 13:41:13,18-21,Full-time tertiary student,11pm-12am,7,9am,9,8,4-6 hours,6,4,Slightly productive,Partly Agree
12/04/2021 13:42:12,18-21,Part time employee,12-1am,10,9am,10,7,4-6 hours,10,2,Moderately productive,Strongly Agree
12/04/2021 13:42:35,15-17,Casual high school student ,10-11pm,5,6am,10,6,0-2 hours,5,2,Not at all productive,Neither agree nor disagree
12/04/2021 13:43:05,15-17,Full-time tertiary student,12-1am,7,10am,8,7,0-2 hours,10,2,Moderately productive,Strongly Agree
12/04/2021 13:43:52,18-21,Full-time tertiary student,10-11pm,8,8am,7,7,4-6 hours,9,4,Moderately productive,Partly Agree
12/04/2021 13:44:50,18-21,Full-time tertiary student,1am-2am,5,10am,9,6,4-6 hours,9,2,Slightly productive,Partly Agree
12/04/2021 13:45:06,18-21,Full-time tertiary student,10-11pm,7,8am,3,8,6-8 hours,9,4,Moderately productive,Strongly Agree
12/04/2021 13:46:49,15-17,High school student,10-11pm,4,6am,3,7,2-4 hours,8,2,Moderately productive,Partly Agree
12/04/2021 13:51:59,18-21,Full-time tertiary student,11pm-12am,10,8am,10,7,6-8 hours,10,2,Slightly productive,Partly Agree
12/04/2021 13:52:16,18-21,Full-time tertiary student,10-11pm,3,8am,4,8,4-6 hours,6,3,Moderately productive,Partly Agree
12/04/2021 13:52:52,18-21,High school student,12-1am,4,8am,6,7,0-2 hours,6,3,Slightly productive,Partly Agree
12/04/2021 13:55:31,18-21,Part time employee,12-1am,7,11am,8,7,2-4 hours,6,2,Moderately productive,Strongly Agree
12/04/2021 13:55:56,22-25,Full time employee,1am-2am,7,10am,6,5,8 or more hours,9,1,Moderately productive,Strongly Agree
12/04/2021 13:57:34,18-21,Unemployed,12-1am,7,10am,2,8,0-2 hours,1,1,Not at all productive,Partly Agree
12/04/2021 13:59:06,18-21,Full-time tertiary student,11pm-12am,9,8am,7,7,8 or more hours,9,2,Moderately productive,Strongly Agree
12/04/2021 13:59:24,18-21,Full-time tertiary student,11pm-12am,1,7am,1,7,6-8 hours,1,5,Extremely productive,Strongly Disagree
12/04/2021 14:00:32,15-17,High school student,10-11pm,8,7am,10,10 or more,0-2 hours,10,4,Slightly productive,Strongly Agree
12/04/2021 14:03:36,18-21,Full-time tertiary student,12-1am,9,9am,9,7,4-6 hours,8,3,Moderately productive,Strongly Agree
12/04/2021 14:03:59,18-21,full time tertiary + part time employee,9-10pm,8,7am,4,8,2-4 hours,5,4,Slightly productive,Partly Agree
